time,voltage1,voltage2,voltage3,voltage4,voltage5,current1,current2,current3,current4,current5
1900.55,-69.94628906,-70.34301758,-70.28198242,-70.46508789,-70.43457031,0,0,0,0,0
1900.6,-69.97680664,-70.28198242,-70.3125,-70.43457031,-70.37353516,0,0,0,0,0
1900.65,-70.00732422,-70.25146484,-70.34301758,-70.46508789,-70.40405273,0,0,0,0,0
1900.7,-70.0378418,-70.25146484,-70.37353516,-70.43457031,-70.40405273,0,0,0,0,0
1900.75,-70.0378418,-70.25146484,-70.34301758,-70.46508789,-70.43457031,0,0,0,0,0
1900.8,-70.0378418,-70.28198242,-70.3125,-70.49560547,-70.40405273,0,0,0,0,0
1900.85,-70.0378418,-70.28198242,-70.34301758,-70.46508789,-70.43457031,0,0,0,0,0
1900.9,-70.00732422,-70.28198242,-70.37353516,-70.49560547,-70.40405273,0,0,0,0,0
1900.95,-70.00732422,-70.25146484,-70.28198242,-70.43457031,-70.43457031,0,0,0,0,0
1901,-70.0378418,-70.22094727,-70.28198242,-70.46508789,-70.43457031,0,0,0,0,0
1901.05,-69.94628906,-70.22094727,-70.3125,-70.43457031,-70.43457031,0,0,0,0,0
1901.1,-70.00732422,-70.22094727,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1901.15,-70.00732422,-70.28198242,-70.34301758,-70.43457031,-70.43457031,0,0,0,0,0
1901.2,-70.00732422,-70.28198242,-70.34301758,-70.46508789,-70.46508789,0,0,0,0,0
1901.25,-70.06835938,-70.22094727,-70.3125,-70.49560547,-70.40405273,0,0,0,0,0
1901.3,-70.0378418,-70.25146484,-70.37353516,-70.43457031,-70.43457031,0,0,0,0,0
1901.35,-70.0378418,-70.25146484,-70.34301758,-70.46508789,-70.43457031,0,0,0,0,0
1901.4,-70.00732422,-70.25146484,-70.34301758,-70.46508789,-70.40405273,0,0,0,0,0
1901.45,-70.00732422,-70.28198242,-70.34301758,-70.49560547,-70.46508789,0,0,0,0,0
1901.5,-70.00732422,-70.25146484,-70.34301758,-70.43457031,-70.43457031,0,0,0,0,0
1901.55,-70.0378418,-70.28198242,-70.34301758,-70.46508789,-70.46508789,0,0,0,0,0
1901.6,-70.0378418,-70.25146484,-70.28198242,-70.49560547,-70.46508789,0,0,0,0,0
1901.65,-70.00732422,-70.28198242,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1901.7,-70.00732422,-70.25146484,-70.28198242,-70.46508789,-70.46508789,0,0,0,0,0
1901.75,-70.0378418,-70.3125,-70.37353516,-70.46508789,-70.46508789,0,0,0,0,0
1901.8,-70.0378418,-70.3125,-70.3125,-70.49560547,-70.40405273,0,0,0,0,0
1901.85,-70.0378418,-70.28198242,-70.37353516,-70.43457031,-70.40405273,0,0,0,0,0
1901.9,-70.0378418,-70.3125,-70.3125,-70.43457031,-70.40405273,0,0,0,0,0
1901.95,-70.06835938,-70.25146484,-70.34301758,-70.49560547,-70.40405273,0,0,0,0,0
1902,-70.06835938,-70.3125,-70.3125,-70.43457031,-70.46508789,0,0,0,0,0
1902.05,-70.0378418,-70.25146484,-70.3125,-70.49560547,-70.43457031,0,0,0,0,0
1902.1,-70.00732422,-70.28198242,-70.3125,-70.52612305,-70.40405273,0,0,0,0,0
1902.15,-70.00732422,-70.28198242,-70.25146484,-70.49560547,-70.46508789,0,0,0,0,0
1902.2,-70.06835938,-70.34301758,-70.3125,-70.49560547,-70.46508789,0,0,0,0,0
1902.25,-70.00732422,-70.25146484,-70.28198242,-70.49560547,-70.43457031,0,0,0,0,0
1902.3,-70.06835938,-70.25146484,-70.3125,-70.49560547,-70.43457031,0,0,0,0,0
1902.35,-70.0378418,-70.25146484,-70.3125,-70.49560547,-70.49560547,0,0,0,0,0
1902.4,-70.06835938,-70.25146484,-70.28198242,-70.46508789,-70.40405273,0,0,0,0,0
1902.45,-70.06835938,-70.25146484,-70.3125,-70.43457031,-70.43457031,0,0,0,0,0
1902.5,-70.06835938,-70.25146484,-70.3125,-70.49560547,-70.46508789,0,0,0,0,0
